"Graph";"Vertices";"Edges";"Edge Density";"Iterations";"First Tie Breaker";"Second Tie Breaker";"MIM"
"mulsol.i.5.dgf";"186";"3973";"0.23092124382446963";"50";"Min Degree";"Min Neighbours Degree";"2"
"mulsol.i.5.dgf";"186";"3973";"0.23092124382446963";"50";"Min Degree";"Max Edges between Neighbours";"2"
"mulsol.i.5.dgf";"186";"3973";"0.23092124382446963";"50";"Min Degree";"Min Edges between Neighbours";"2"
"mulsol.i.5.dgf";"186";"3973";"0.23092124382446963";"100";"First";"First";"2"
"mulsol.i.5.dgf";"186";"3973";"0.23092124382446963";"100";"First";"Max Neighbours Degree";"2"
"mulsol.i.5.dgf";"186";"3973";"0.23092124382446963";"100";"First";"Min Neighbours Degree";"2"
"mulsol.i.5.dgf";"186";"3973";"0.23092124382446963";"100";"First";"Max Edges between Neighbours";"2"
"mulsol.i.5.dgf";"186";"3973";"0.23092124382446963";"100";"First";"Min Edges between Neighbours";"2"
"mulsol.i.5.dgf";"186";"3973";"0.23092124382446963";"100";"Max Degree";"First";"2"
"mulsol.i.5.dgf";"186";"3973";"0.23092124382446963";"100";"Max Degree";"Max Neighbours Degree";"2"
"mulsol.i.5.dgf";"186";"3973";"0.23092124382446963";"100";"Max Degree";"Min Neighbours Degree";"2"
"mulsol.i.5.dgf";"186";"3973";"0.23092124382446963";"100";"Max Degree";"Max Edges between Neighbours";"2"
"mulsol.i.5.dgf";"186";"3973";"0.23092124382446963";"100";"Max Degree";"Min Edges between Neighbours";"2"
"mulsol.i.5.dgf";"186";"3973";"0.23092124382446963";"100";"Min Degree";"First";"2"
"mulsol.i.5.dgf";"186";"3973";"0.23092124382446963";"100";"Min Degree";"Max Neighbours Degree";"2"
"mulsol.i.5.dgf";"186";"3973";"0.23092124382446963";"100";"Min Degree";"Min Neighbours Degree";"2"
"mulsol.i.5.dgf";"186";"3973";"0.23092124382446963";"100";"Min Degree";"Max Edges between Neighbours";"2"
"mulsol.i.5.dgf";"186";"3973";"0.23092124382446963";"100";"Min Degree";"Min Edges between Neighbours";"2"
"queen8_12.col";"96";"1368";"0.3";"10";"First";"First";"10"
"queen8_12.col";"96";"1368";"0.3";"10";"First";"Max Neighbours Degree";"10"
"queen8_12.col";"96";"1368";"0.3";"10";"First";"Min Neighbours Degree";"10"
"queen8_12.col";"96";"1368";"0.3";"10";"First";"Max Edges between Neighbours";"10"
"queen8_12.col";"96";"1368";"0.3";"10";"First";"Min Edges between Neighbours";"10"
"queen8_12.col";"96";"1368";"0.3";"10";"Max Degree";"First";"8"
"queen8_12.col";"96";"1368";"0.3";"10";"Max Degree";"Max Neighbours Degree";"8"
"queen8_12.col";"96";"1368";"0.3";"10";"Max Degree";"Min Neighbours Degree";"8"
"queen8_12.col";"96";"1368";"0.3";"10";"Max Degree";"Max Edges between Neighbours";"8"
"queen8_12.col";"96";"1368";"0.3";"10";"Max Degree";"Min Edges between Neighbours";"8"
"queen8_12.col";"96";"1368";"0.3";"10";"Min Degree";"First";"11"
"queen8_12.col";"96";"1368";"0.3";"10";"Min Degree";"Max Neighbours Degree";"8"
"queen8_12.col";"96";"1368";"0.3";"10";"Min Degree";"Min Neighbours Degree";"8"
"queen8_12.col";"96";"1368";"0.3";"10";"Min Degree";"Max Edges between Neighbours";"8"
"queen8_12.col";"96";"1368";"0.3";"10";"Min Degree";"Min Edges between Neighbours";"9"
"queen8_12.col";"96";"1368";"0.3";"50";"First";"First";"11"
"queen8_12.col";"96";"1368";"0.3";"50";"First";"Max Neighbours Degree";"11"
"queen8_12.col";"96";"1368";"0.3";"50";"First";"Min Neighbours Degree";"11"
"queen8_12.col";"96";"1368";"0.3";"50";"First";"Max Edges between Neighbours";"11"
"queen8_12.col";"96";"1368";"0.3";"50";"First";"Min Edges between Neighbours";"11"
"queen8_12.col";"96";"1368";"0.3";"50";"Max Degree";"First";"9"
"queen8_12.col";"96";"1368";"0.3";"50";"Max Degree";"Max Neighbours Degree";"9"
"queen8_12.col";"96";"1368";"0.3";"50";"Max Degree";"Min Neighbours Degree";"8"
"queen8_12.col";"96";"1368";"0.3";"50";"Max Degree";"Max Edges between Neighbours";"8"
"queen8_12.col";"96";"1368";"0.3";"50";"Max Degree";"Min Edges between Neighbours";"8"
"queen8_12.col";"96";"1368";"0.3";"50";"Min Degree";"First";"11"
"queen8_12.col";"96";"1368";"0.3";"50";"Min Degree";"Max Neighbours Degree";"8"
"queen8_12.col";"96";"1368";"0.3";"50";"Min Degree";"Min Neighbours Degree";"10"
"queen8_12.col";"96";"1368";"0.3";"50";"Min Degree";"Max Edges between Neighbours";"8"
"queen8_12.col";"96";"1368";"0.3";"50";"Min Degree";"Min Edges between Neighbours";"11"
"queen8_12.col";"96";"1368";"0.3";"100";"First";"First";"11"
"queen8_12.col";"96";"1368";"0.3";"100";"First";"Max Neighbours Degree";"11"
"queen8_12.col";"96";"1368";"0.3";"100";"First";"Min Neighbours Degree";"11"
"queen8_12.col";"96";"1368";"0.3";"100";"First";"Max Edges between Neighbours";"11"
"queen8_12.col";"96";"1368";"0.3";"100";"First";"Min Edges between Neighbours";"11"
"queen8_12.col";"96";"1368";"0.3";"100";"Max Degree";"First";"8"
"queen8_12.col";"96";"1368";"0.3";"100";"Max Degree";"Max Neighbours Degree";"9"
"queen8_12.col";"96";"1368";"0.3";"100";"Max Degree";"Min Neighbours Degree";"9"
"queen8_12.col";"96";"1368";"0.3";"100";"Max Degree";"Max Edges between Neighbours";"8"
"queen8_12.col";"96";"1368";"0.3";"100";"Max Degree";"Min Edges between Neighbours";"8"
"queen8_12.col";"96";"1368";"0.3";"100";"Min Degree";"First";"11"
"queen8_12.col";"96";"1368";"0.3";"100";"Min Degree";"Max Neighbours Degree";"8"
"queen8_12.col";"96";"1368";"0.3";"100";"Min Degree";"Min Neighbours Degree";"10"
"queen8_12.col";"96";"1368";"0.3";"100";"Min Degree";"Max Edges between Neighbours";"8"
"queen8_12.col";"96";"1368";"0.3";"100";"Min Degree";"Min Edges between Neighbours";"11"
"zeroin.i.1.col";"211";"4100";"0.18505980591288648";"10";"First";"First";"3"
"zeroin.i.1.col";"211";"4100";"0.18505980591288648";"10";"First";"Max Neighbours Degree";"3"
"zeroin.i.1.col";"211";"4100";"0.18505980591288648";"10";"First";"Min Neighbours Degree";"3"
"zeroin.i.1.col";"211";"4100";"0.18505980591288648";"10";"First";"Max Edges between Neighbours";"3"
"zeroin.i.1.col";"211";"4100";"0.18505980591288648";"10";"First";"Min Edges between Neighbours";"3"
"zeroin.i.1.col";"211";"4100";"0.18505980591288648";"10";"Max Degree";"First";"2"
"zeroin.i.1.col";"211";"4100";"0.18505980591288648";"10";"Max Degree";"Max Neighbours Degree";"2"
"zeroin.i.1.col";"211";"4100";"0.18505980591288648";"10";"Max Degree";"Min Neighbours Degree";"2"
"zeroin.i.1.col";"211";"4100";"0.18505980591288648";"10";"Max Degree";"Max Edges between Neighbours";"2"
"zeroin.i.1.col";"211";"4100";"0.18505980591288648";"10";"Max Degree";"Min Edges between Neighbours";"2"
"zeroin.i.1.col";"211";"4100";"0.18505980591288648";"10";"Min Degree";"First";"2"
"zeroin.i.1.col";"211";"4100";"0.18505980591288648";"10";"Min Degree";"Max Neighbours Degree";"2"
"zeroin.i.1.col";"211";"4100";"0.18505980591288648";"10";"Min Degree";"Min Neighbours Degree";"2"
"zeroin.i.1.col";"211";"4100";"0.18505980591288648";"10";"Min Degree";"Max Edges between Neighbours";"2"
"zeroin.i.1.col";"211";"4100";"0.18505980591288648";"10";"Min Degree";"Min Edges between Neighbours";"2"
"zeroin.i.1.col";"211";"4100";"0.18505980591288648";"50";"First";"First";"3"
"zeroin.i.1.col";"211";"4100";"0.18505980591288648";"50";"First";"Max Neighbours Degree";"3"
"zeroin.i.1.col";"211";"4100";"0.18505980591288648";"50";"First";"Min Neighbours Degree";"3"
"zeroin.i.1.col";"211";"4100";"0.18505980591288648";"50";"First";"Max Edges between Neighbours";"3"
"zeroin.i.1.col";"211";"4100";"0.18505980591288648";"50";"First";"Min Edges between Neighbours";"3"
"zeroin.i.1.col";"211";"4100";"0.18505980591288648";"50";"Max Degree";"First";"2"
"zeroin.i.1.col";"211";"4100";"0.18505980591288648";"50";"Max Degree";"Max Neighbours Degree";"2"
"zeroin.i.1.col";"211";"4100";"0.18505980591288648";"50";"Max Degree";"Min Neighbours Degree";"2"
"zeroin.i.1.col";"211";"4100";"0.18505980591288648";"50";"Max Degree";"Max Edges between Neighbours";"2"
"zeroin.i.1.col";"211";"4100";"0.18505980591288648";"50";"Max Degree";"Min Edges between Neighbours";"2"
"zeroin.i.1.col";"211";"4100";"0.18505980591288648";"50";"Min Degree";"First";"2"
"zeroin.i.1.col";"211";"4100";"0.18505980591288648";"50";"Min Degree";"Max Neighbours Degree";"2"
"zeroin.i.1.col";"211";"4100";"0.18505980591288648";"50";"Min Degree";"Min Neighbours Degree";"2"
"zeroin.i.1.col";"211";"4100";"0.18505980591288648";"50";"Min Degree";"Max Edges between Neighbours";"2"
"zeroin.i.1.col";"211";"4100";"0.18505980591288648";"50";"Min Degree";"Min Edges between Neighbours";"2"
"zeroin.i.1.col";"211";"4100";"0.18505980591288648";"100";"First";"First";"3"
"zeroin.i.1.col";"211";"4100";"0.18505980591288648";"100";"First";"Max Neighbours Degree";"3"
"zeroin.i.1.col";"211";"4100";"0.18505980591288648";"100";"First";"Min Neighbours Degree";"3"
"zeroin.i.1.col";"211";"4100";"0.18505980591288648";"100";"First";"Max Edges between Neighbours";"3"
"zeroin.i.1.col";"211";"4100";"0.18505980591288648";"100";"First";"Min Edges between Neighbours";"3"
"zeroin.i.1.col";"211";"4100";"0.18505980591288648";"100";"Max Degree";"First";"2"
"zeroin.i.1.col";"211";"4100";"0.18505980591288648";"100";"Max Degree";"Max Neighbours Degree";"2"
"zeroin.i.1.col";"211";"4100";"0.18505980591288648";"100";"Max Degree";"Min Neighbours Degree";"2"
"zeroin.i.1.col";"211";"4100";"0.18505980591288648";"100";"Max Degree";"Max Edges between Neighbours";"2"
"zeroin.i.1.col";"211";"4100";"0.18505980591288648";"100";"Max Degree";"Min Edges between Neighbours";"2"
"zeroin.i.1.col";"211";"4100";"0.18505980591288648";"100";"Min Degree";"First";"2"
"zeroin.i.1.col";"211";"4100";"0.18505980591288648";"100";"Min Degree";"Max Neighbours Degree";"2"
"zeroin.i.1.col";"211";"4100";"0.18505980591288648";"100";"Min Degree";"Min Neighbours Degree";"2"
"zeroin.i.1.col";"211";"4100";"0.18505980591288648";"100";"Min Degree";"Max Edges between Neighbours";"2"
"zeroin.i.1.col";"211";"4100";"0.18505980591288648";"100";"Min Degree";"Min Edges between Neighbours";"2"
"eil51.tsp.dgf";"51";"140";"0.10980392156862745";"10";"First";"First";"6"
"eil51.tsp.dgf";"51";"140";"0.10980392156862745";"10";"First";"Max Neighbours Degree";"6"
"eil51.tsp.dgf";"51";"140";"0.10980392156862745";"10";"First";"Min Neighbours Degree";"6"
"eil51.tsp.dgf";"51";"140";"0.10980392156862745";"10";"First";"Max Edges between Neighbours";"6"
"eil51.tsp.dgf";"51";"140";"0.10980392156862745";"10";"First";"Min Edges between Neighbours";"6"
"eil51.tsp.dgf";"51";"140";"0.10980392156862745";"10";"Max Degree";"First";"7"
"eil51.tsp.dgf";"51";"140";"0.10980392156862745";"10";"Max Degree";"Max Neighbours Degree";"9"
"eil51.tsp.dgf";"51";"140";"0.10980392156862745";"10";"Max Degree";"Min Neighbours Degree";"8"
"eil51.tsp.dgf";"51";"140";"0.10980392156862745";"10";"Max Degree";"Max Edges between Neighbours";"8"
"eil51.tsp.dgf";"51";"140";"0.10980392156862745";"10";"Max Degree";"Min Edges between Neighbours";"7"
"eil51.tsp.dgf";"51";"140";"0.10980392156862745";"10";"Min Degree";"First";"5"
"eil51.tsp.dgf";"51";"140";"0.10980392156862745";"10";"Min Degree";"Max Neighbours Degree";"5"
"eil51.tsp.dgf";"51";"140";"0.10980392156862745";"10";"Min Degree";"Min Neighbours Degree";"4"
"eil51.tsp.dgf";"51";"140";"0.10980392156862745";"10";"Min Degree";"Max Edges between Neighbours";"5"
